No,Name Autobot,Team,Klasifikasi,Kategori,Fungsi,Tugas,Tujuan,Links autobuilder
1892,Custom GPT - Bot Risk Identification System,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Mengidentifikasi potensi risiko,Mengidentifikasi dan mengevaluasi risiko yang ada,Meminimalkan risiko potensial di organisasi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688329af-7e88-8320-bcb7-1ae75072bb29
1893,Custom GPT - Bot Risk Matrix Analyzer,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menganalisis risiko menggunakan matriks,Menggunakan matriks risiko untuk analisis,Menyusun prioritas risiko berdasarkan dampaknya,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688329b6-91e0-832b-a0d0-6f165c2538df
1894,Custom GPT - Bot Risk Impact Assessment Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai dampak dari risiko yang teridentifikasi,Melakukan evaluasi dampak dari setiap risiko,Mengukur potensi kerugian yang mungkin terjadi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688329be-3664-832c-9299-99f8eb3d0fce
1895,Custom GPT - Bot Risk Probability Analysis Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menganalisis probabilitas terjadinya risiko,Menilai kemungkinan risiko untuk setiap skenario,Membantu menentukan langkah pencegahan risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492ad-b66c-8323-ae86-543d83501490
1896,Custom GPT - Bot Financial Risk Assessment Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai risiko finansial,Melakukan analisis risiko terkait aspek finansial,Memastikan stabilitas finansial perusahaan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492b8-0c98-832a-bffe-2a05b4d436ff
1897,Custom GPT - Bot Operational Risk Analyzer,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menganalisis risiko operasional,Menilai risiko dalam operasi harian perusahaan,Mengidentifikasi dan mengurangi gangguan operasional,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492bf-d5cc-8328-91b4-a85778e80f7e
1898,Custom GPT - Bot Compliance & Regulatory Risk Tracker,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Melacak kepatuhan dan risiko regulasi,Memantau kepatuhan terhadap regulasi dan risiko,Menjaga kepatuhan terhadap hukum dan peraturan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492c9-aae8-832b-8b8a-77526652bb03
1899,Custom GPT - Bot Cybersecurity Risk Assessment Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai risiko terkait dengan keamanan siber,Melakukan penilaian atas potensi ancaman keamanan siber,Meningkatkan perlindungan data dan infrastruktur,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492cf-d24c-832f-adfb-76c3e6e7d09d
1900,Custom GPT - Bot Legal & Contractual Risk Tracker,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai risiko hukum dan kontraktual,Memantau dan menilai risiko terkait kontrak hukum,Mengurangi potensi masalah hukum dan kontrak,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492d4-4068-8329-a98c-9fe162ed79b6
1901,Custom GPT - Bot Environmental Risk Detection Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Mendeteksi risiko lingkungan,Menilai dampak risiko lingkungan terhadap perusahaan,Menjaga keberlanjutan dan tanggung jawab sosial,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492e5-25fc-8331-9f91-a16b3b5ca068
