sector,source_type,url,status_code,attempt_used,captured_at
MLaaS Platform & MLOps Enablement,market_report,https://www.precedenceresearch.com/machine-learning-as-a-service-market,200,1,2026-02-26T13:15:22
MLaaS Platform & MLOps Enablement,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:23
MLaaS Platform & MLOps Enablement,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:27
MLaaS Platform & MLOps Enablement,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:28
Generative AI Integration Service,market_report,https://www.precedenceresearch.com/generative-ai-market,200,1,2026-02-26T13:15:28
Generative AI Integration Service,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:28
Generative AI Integration Service,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:30
Generative AI Integration Service,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:30
Intelligent Document Processing (IDP) Service,market_report,https://www.precedenceresearch.com/intelligent-document-processing-market,200,1,2026-02-26T13:15:30
Intelligent Document Processing (IDP) Service,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:31
Intelligent Document Processing (IDP) Service,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:32
Intelligent Document Processing (IDP) Service,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:32
Conversational AI Customer Automation,market_report,https://www.precedenceresearch.com/conversational-ai-market,200,1,2026-02-26T13:15:32
Conversational AI Customer Automation,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:33
Conversational AI Customer Automation,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:33
Conversational AI Customer Automation,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:34
Predictive Analytics Service,market_report,https://www.precedenceresearch.com/predictive-analytics-market,200,1,2026-02-26T13:15:34
Predictive Analytics Service,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:35
Predictive Analytics Service,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:35
Predictive Analytics Service,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:36
RPA + AI Workflow Automation Service,market_report,https://www.precedenceresearch.com/robotic-process-automation-market,200,1,2026-02-26T13:15:36
RPA + AI Workflow Automation Service,github_search,https://api.github.com/search/repositories,200,1,2026-02-26T13:15:36
RPA + AI Workflow Automation Service,hn_algolia,https://hn.algolia.com/api/v1/search_by_date,200,1,2026-02-26T13:15:37
RPA + AI Workflow Automation Service,arxiv_api,https://export.arxiv.org/api/query,200,1,2026-02-26T13:15:38
